"Dis.No" "Year" "Seq" "Glide" "Disaster.Group" "Disaster.Subgroup" "Disaster.Type" "Disaster.Subtype" "Disaster.Subsubtype" "Event.Name" "Country" "ISO" "Region" "Continent" "Location" "Origin" "Associated.Dis" "Associated.Dis2" "OFDA.Response" "Appeal" "Declaration" "AID.Contribution...000.US.." "Dis.Mag.Value" "Dis.Mag.Scale" "Latitude" "Longitude" "Local.Time" "River.Basin" "Start.Year" "Start.Month" "Start.Day" "End.Year" "End.Month" "End.Day" "Total.Deaths" "No.Injured" "No.Affected" "No.Homeless" "Total.Affected" "Reconstruction.Costs...000.US.." "Reconstruction.Costs..Adjusted...000.US.." "Insured.Damages...000.US.." "Insured.Damages..Adjusted...000.US.." "Total.Damages...000.US.." "Total.Damages..Adjusted...000.US.." "CPI" "Adm.Level" "Admin1.Code" "Admin2.Code" "Geo.Locations"
"2009-0493-IRN" 2009 493 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Bandar-e abbas district (Hormozgan province)" "" "" "" "" "" "" NA 5 "Richter" "27.334" "56.202" "02:46" "" 2009 11 3 2009 11 3 NA 269 NA NA 269 NA NA NA NA NA NA 79.17380276 "2" "" "40896" "Bandar-e abbas (Adm2)."
"2009-0271-ITA" 2009 271 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Italy" "ITA" "Southern Europe" "Europe" "Sardegna, Sicilia provinces" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2009 7 20 2009 7 27 2 NA NA NA NA NA NA NA NA 115000 145250 79.17380276 "1" "1629;1630" "" "Sardegna, Sicilia (Adm1)."
"2010-0562-IDN" 2010 562 "VO-2010-000214" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Merapi" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Klaten, Kota Klaten, Magelang, Kota Magelang, Boyolali districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)" "" "Fire" "" "Yes" "" "" 2234 NA "" "" "" "" "" 2010 10 24 2010 10 24 322 454 136686 NA 137140 NA NA NA NA NA NA 80.47228515 "2" "" "17985;18034;18042;18043;18050;73730" "Boyolali, Klaten, Kota Klaten, Kota Magelang, Magelang, Sleman (Adm2)."
"2010-0669-AFG" 2010 669 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Afghanistan" "AFG" "Southern Asia" "Asia" "Samangan province" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 6 "Richter" "35.633" "67.658" "" "" 2010 4 18 2010 4 18 11 70 NA 1000 1070 NA NA NA NA NA NA 80.47228515 "1" "298" "" "Samangan (Adm1)."
"2010-0667-CHN" 2010 667 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Guizhou Sheng province" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 4 "Richter" "25.558" "105.804" "" "" 2010 1 17 2010 1 17 8 9 NA NA 9 NA NA NA NA NA NA 80.47228515 "1" "905" "" "Guizhou Sheng (Adm1)."
"2010-0238-IDN" 2010 238 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Yapen district (Papua province)" "" "Slide (land, mud, snow, rock)" "" "" "" "" NA 7 "Richter" "-2.174" "136.543" "12:16" "" 2010 6 16 2010 6 16 17 NA NA 4600 4600 NA NA NA NA NA NA 80.47228515 "2" "" "73880" "Yapen (Adm2)."
"2010-0091-CHL" 2010 91 "EQ-2010-000034" "Natural" "Geophysical" "Earthquake" "Tsunami" "" "" "Chile" "CHL" "South America" "Americas" "Biobio province, Libertador Gral. Bernardo O'higgins, Valparaiso, Araucania, Metropolitana Santiago, Maule Provinces" "" "Tsunami/Tidal wave" "" "Yes" "Yes" "Yes" 68705 9 "Richter" "-36.122" "-72.898" "03:34" "" 2010 2 27 2010 2 27 562 10334 1861222 800000 2671556 NA NA 8000000 9941311 30000000 37279916 80.47228515 "1" "884;887;889;892;893;149630" "" "Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Metropolitana, Valparaiso (Adm1)."
"2010-0563-IDN" 2010 563 "EQ-2010-000213" "Natural" "Geophysical" "Earthquake" "Tsunami" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Kepulauan Mentawai district (Sumatera Barat province)" "" "Tsunami/Tidal wave" "" "Yes" "" "" 7043 8 "Richter" "-3.487" "100.082" "21:42" "" 2010 10 25 2010 10 25 530 412 11452 NA 11864 NA NA NA NA NA NA 80.47228515 "2" "" "73696" "Kepulauan Mentawai (Adm2)."
"2010-9077-GRD" 2010 9077 "DR-2010-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Grenada" "GRD" "Caribbean" "Americas" "St. Patrick's, Name Unknown, St. George's provinces" "Severe dry conditions" "Wildfire" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 1 NA 2010 6 NA NA NA NA NA NA NA NA NA NA NA NA 80.47228515 "1;2" "1352;1354" "16735" "Name Unknown, St. George's (Adm1). Administrative unit not available (Adm2)."
"2010-0170-ISL" 2010 170 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Eyjafjallajokull" "Iceland" "ISL" "Northern Europe" "Europe" "�Fljotshlid,�Eyjafj�ll, and�Landeyjar villages (Rangarvalla province)" "" "Flood" "" "" "" "" NA NA "" "63.62959" "-19.64" "" "" 2010 3 NA 2010 4 NA NA NA NA NA NA NA NA NA NA NA NA 80.47228515 "1" "1474" "" "Rang??rvalla (Adm1)."
"2010-9701-CHN" 2010 9701 "" "Natural" "Climatological" "Drought" "Drought" "" "" "China" "CHN" "Eastern Asia" "Asia" "Anhui Sheng, Gansu Sheng, Henan Sheng, Hebei Sheng, Jiangsu Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng provinces" "" "Water shortage" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 12 NA 2011 5 NA NA NA 35000000 NA 35000000 NA NA NA NA 2370000 2945113 80.47228515 "1" "898;902;907;909;913;920;921;923" "" "Anhui Sheng, Gansu Sheng, Hebei Sheng, Henan Sheng, Jiangsu Sheng, Shaanxi Sheng, Shandong Sheng, Shanxi Sheng (Adm1)."
"2010-9082-BDI" 2010 9082 "DR-2011-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Burundi" "BDI" "Eastern Africa" "Africa" "Kayanza, Ngozi provinces (North region), Cankuzo, Kirundo, Muyinga provinces (North-Eastern region), Bururi, Makamba, Rutana provinces (Southern region)" "Rainfall deficit in October December 2010" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2011 NA NA 2011 NA NA NA NA NA NA NA NA NA NA NA NA NA 80.47228515 "1" "40545;40546;40550;40551;40552;40554;40556;40557" "" "Bururi, Cankuzo, Kayanza, Kirundo, Makamba, Muyinga, Ngozi, Rutana (Adm1)."
"2010-0421-BOL" 2010 421 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Bolivia (Plurinational State of)" "BOL" "South America" "Americas" "Beni, Pando, Santa Cruz, Cochabamba, La Paz provinces" "Drought situation" "" "" "" "" "Yes" NA NA "Km2" "" "" "" "" 2010 8 NA 2010 8 NA NA NA NA 300 300 NA NA NA NA NA NA 80.47228515 "1" "648;40443;40445;40446;40449" "" "Beni, Cochabamba, La Paz, Pando, Santa Cruz (Adm1)."
"2010-9253-BOL" 2010 9253 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Bolivia (Plurinational State of)" "BOL" "South America" "Americas" "Santa Cruz, Tarija, Chuquisaca provinces" "" "" "" "" "" "Yes" NA NA "Km2" "" "" "" "" 2010 6 NA 2010 9 NA NA NA 62500 NA 62500 NA NA NA NA 100000 124266 80.47228515 "1" "40444;40449;40450" "" "Chuquisaca, Santa Cruz, Tarija (Adm1)."
"2010-9556-BRA" 2010 9556 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Brazil" "BRA" "South America" "Americas" "Amazonas province" "" "" "" "" "" "Yes" NA NA "Km2" "" "" "" "" 2010 10 NA 2010 NA NA NA NA 62000 NA 62000 NA NA NA NA NA NA 80.47228515 "1" "668" "" "Amazonas (Adm1)."
"2010-9077-BRB" 2010 9077 "DR-2010-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Barbados" "BRB" "Caribbean" "Americas" "Christ Church, St. Andrew, St. George, St. James, St. John, St. Joseph, St. Lucy, St. Michael, St. Peter, St. Phillip, St. Tomas provinces" "Extremely dry conditipns" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 1 NA 2010 6 NA NA NA NA NA NA NA NA NA NA NA NA 80.47228515 "2" "" "5825;5826;5827;5828;5829;5830;5831;5832;5833;5834;5835" "Administrative unit not available (Adm2)."
"2010-0064-CHN" 2010 64 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Moxizhen village (Suining district, Sichuan Sheng province)" "" "" "" "" "" "" NA 5 "Richter" "30.268" "105.668" "" "" 2010 1 30 2010 1 30 1 15 10000 500 10515 NA NA NA NA 4400 5468 80.47228515 "2" "" "13262" "Suining (Adm2)."
"2010-0087-CHN" 2010 87 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Kunming district (Yunnan Sheng province)" "" "" "" "" "" "" NA 5 "Richter" "25.523" "101.903" "12:56" "" 2010 2 25 2010 2 25 NA 11 50000 NA 50011 NA NA NA NA NA NA 80.47228515 "2" "" "13303" "Kunming (Adm2)."
"2010-0169-CHN" 2010 169 "EQ-2010-000073" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Yushu Xian area (Name Unknown district, Qinghai Sheng province)" "" "" "" "Yes" "" "" 8380 7 "Richter" "33.165" "96.548" "07:49" "" 2010 4 14 2010 4 14 2968 12000 NA 100000 112000 NA NA NA NA 500000 621332 80.47228515 "2" "" "13213" "Name Unknown (Adm2)."
"2010-0673-CHN" 2010 673 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Ningnan area (Liangshan Yi district, Sichuan Sheng province), Qiaojia area (Zhaotong district, Yunnan Sheng province)" "" "" "" "" "" "" NA 5 "Richter" "27.197" "103.005" "" "" 2010 8 29 2010 8 29 NA 14 5000 NA 5014 NA NA NA NA NA NA 80.47228515 "2" "" "13272;13306" "Liangshan Yi, Zhaotong (Adm2)."
"2010-0623-CHN" 2010 623 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "China" "CHN" "Eastern Asia" "Asia" "Daofu county (Garzê Tibetan district, Sichuan Sheng province" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 12 5 2010 12 5 22 3 NA NA 3 NA NA NA NA NA NA 80.47228515 "2" "" "13271" "Garzê Tibetan (Adm2)"
"2010-0289-COL" 2010 289 "" "Natural" "Climatological" "Wildfire" "" "" "" "Colombia" "COL" "South America" "Americas" "Antioquia, Arauca, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Cordoba, Cundinamarca, Guainia, Guajira, Guaviare, Huila, Magdalena, Meta, Narino, Norte De Santander, Putumayo, Quindio, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca, Vichada provinces" "Dry conditions" "" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2010 1 NA 2010 4 6 31 NA 200 NA 200 NA NA NA NA NA NA 80.47228515 "1" "935;936;938;939;941;942;943;944;945;947;948;949;950;951;952;953;954;955;956;957;958;959;961;962;963;964;966" "" "Antioquia, Arauca, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Cordoba, Cundinamarca, Guainia, Guajira, Guaviare, Huila, Magdalena, Meta, Narino, Norte De Santander, Putumayo, Quindio, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca, Vichada (Adm1)."
"2010-9082-DJI" 2010 9082 "DR-2011-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Djibouti" "DJI" "Eastern Africa" "Africa" "Ali Sabieh district (Ali Sabieh province), Dikhil, Yoboki districts (Dikhil province), Alaili Dadda, Obock districts (Obock province), Balha, Dorra districts (Tadjourah province)" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 11 NA 2011 7 NA NA NA 200258 NA 200258 NA NA NA NA NA NA 80.47228515 "2" "" "15272;15274;15275;15277;15278;15279;15280" "Alaili Dadda, Ali Sabieh, Balha, Dikhil, Dorra, Obock, Yoboki (Adm2)."
"2010-0274-ECU" 2010 274 "VO-2010-000104" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Tungurahua" "Ecuador" "ECU" "South America" "Americas" "Tungurahua, Chimborazo, Bolivar, Pastaza, Los Rios, Guayas provinces" "" "" "" "" "" "" NA NA "" "-1.467" "-78.442" "" "" 2010 5 28 2010 5 28 NA NA 2500 NA 2500 NA NA NA NA NA NA 80.47228515 "1" "1136;1139;1147;1152;1155;22005" "" "Bolivar, Chimborazo, Guayas, Los Rios, Pastaza, Tungurahua (Adm1)."
"2010-9082-ETH" 2010 9082 "DR-2011-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Ethiopia" "ETH" "Eastern Africa" "Africa" "Somali, Oromia, Afar, Tigray, Amhara provinces" "La Nina" "" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2011 1 NA 2012 1 NA NA NA 4805679 NA 4805679 NA NA NA NA NA NA 80.47228515 "1" "1228;1229;1237;47678;47679" "" "Afar, Amhara, Oromia, Somali, Tigray (Adm1)."
"2010-0220-GTM" 2010 220 "VO-2010-000103" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Pacaya volcano" "Guatemala" "GTM" "Central America" "Americas" "Escuintla, Guatemala, Sacatepéquez province" "" "" "" "Yes" "" "Yes" NA NA "" "14.381" "-90.601" "19:00" "" 2010 5 27 2010 5 27 NA NA 1800 NA 1800 NA NA NA NA NA NA 80.47228515 "1" "64821;64823;64825" "" "Escuintla, Guatemala, Sacatepéquez (Adm1)"
"2010-9077-GUY" 2010 9077 "DR-2010-000029" "Natural" "Climatological" "Drought" "Drought" "" "" "Guyana" "GUY" "South America" "Americas" "Barima Waini (region N°1), Cuyuni/mazaruni (region N°7), Pomeroon/supenaam (region N°2), Potaro/siparuni (region N°8), Upper Takutu/upper Essequibo (region N°9) prov" "El Nino" "" "" "" "" "" NA NA "Km2" "" "" "" "" 2010 1 NA 2010 6 NA NA NA NA NA NA NA NA NA NA 14700 18267 80.47228515 "1" "1398;1399;1404;1405;1407" "" "Barima Waini (region N°1), Cuyuni/mazaruni (region N°7), Pomeroon/supenaam (region N°2), Potaro/siparuni (region N°8), Upper Takutu/upper Essequibo (region N°9) (A"
"2010-0017-HTI" 2010 17 "EQ-2010-000009" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Haiti" "HTI" "Caribbean" "Americas" "Port-au-prince, Kenscoff municipalities (Port-au-Prince district), Croix-des-Bouquets municipality (Croix-des-Bouquets district), Leogane, Petit-Goave, Grand-Goave municipalities (Leogane) (Ouest province), Jacmel municipality (Jacmel district, Sud Est province), Les Cayes municipality (Cayes district, Sud province), Jeremie municipality (Jeremie district, Grande Anse province), Gonaives municipality (Gonaives district, Artibonite province)" "" "" "" "Yes" "Yes" "" 3518530 7 "Richter" "18.443" "-72.571" "16:53" "" 2010 1 12 2010 1 12 222570 300000 3400000 NA 3700000 11500000 14290634 200000 248533 8000000 9941311 80.47228515 "2" "" "17168;17177;17194;17197;17198;17201;17203" "Cayes, Croix-Des-Bouquets, Gonaives, Jacmel, Jeremie, Leogane, Port-Au-Prince (Adm2)."
"2010-0446-IDN" 2010 446 "VO-2010-000170" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Sinabung" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)" "" "" "" "Yes" "" "" NA NA "" "3.17" "98.392" "00:15" "" 2010 8 29 2010 9 7 1 1 15059 NA 15060 NA NA NA NA NA NA 80.47228515 "2" "" "18227" "Karo (Adm2)."
"2010-0018-IRN" 2010 18 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Andimeshk district (Khuzestan province)" "" "" "" "" "" "" NA 5 "Richter" "32.45" "48.3" "" "" 2010 1 16 2010 1 17 NA NA 750 NA 750 NA NA NA NA NA NA 80.47228515 "2" "" "40873" "Andimeshk (Adm2)."
"2010-0361-IRN" 2010 361 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Torbat-e heydarieh district (Khorasan province)" "" "" "" "" "" "" NA 6 "Richter" "35.221" "59.317" "" "" 2010 7 30 2010 7 30 NA 274 NA NA 274 NA NA NA NA NA NA 80.47228515 "2" "" "41133" "Torbat-e heydarieh (Adm2)."
"2010-0363-IRN" 2010 363 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Lamerd district (Fars province)" "" "" "" "" "" "" NA 6 "Richter" "27.022" "53.861" "" "" 2010 7 20 2010 7 20 1 32 NA NA 32 NA NA NA NA NA NA 80.47228515 "2" "" "41013" "Lamerd (Adm2)."
"2010-0591-IRN" 2010 591 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Dorud village (Dorud district, Lorestan province), Razan village (Khorramabad district, Lorestan province)" "" "" "" "" "" "" NA 5 "Richter" "33.37" "48.94" "" "" 2010 11 6 2010 11 6 NA 104 NA NA 104 NA NA NA NA NA NA 80.47228515 "2" "" "40937;41001" "Dorud, Khorramabad (Adm2)."
"2010-0645-IRN" 2010 645 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Fahraj village (Bam district, Kerman province)" "" "" "" "" "" "" NA 7 "Richter" "28.412" "59.18" "22:12" "" 2010 12 20 2010 12 20 7 25 NA NA 25 NA NA NA NA NA NA 80.47228515 "2" "" "40893" "Bam (Adm2)."
"2010-0672-IRN" 2010 672 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Iran (Islamic Republic of)" "IRN" "Southern Asia" "Asia" "Damghan village (Damghan district, Semnan province), Torud village (Shahrud district, Semnan province)" "" "" "" "" "" "" NA 6 "Richter" "35.49" "54.47" "" "" 2010 8 27 2010 8 27 3 100 NA 3500 3600 NA NA NA NA NA NA 80.47228515 "2" "" "40922;41108" "Damghan, Shahrud (Adm2)."
"2010-0627-ISR" 2010 627 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Israel" "ISR" "Western Asia" "Asia" "Isfiya village (Carmel forest, Haifa province)" "" "" "" "Yes" "" "" 574 NA "Km2" "" "" "" "" 2010 12 2 2010 12 5 44 22 20000 NA 20022 NA NA NA NA 270000 335519 80.47228515 "1" "1611" "" "Haifa (Adm1)."
"2011-0082-IDN" 2011 82 "" "Natural" "Geophysical" "Earthquake" "Tsunami" "" "" "Indonesia" "IDN" "South-Eastern Asia" "Asia" "Holtekamp beach (Muara Tami area, Kota Jayapura district, Papua province)" "" "Tsunami/Tidal wave" "" "" "" "" NA 9 "Richter" "38.297" "142.373" "" "" 2011 3 11 2011 3 11 1 NA NA 95 95 NA NA NA NA NA NA 83.01267439 "2" "" "73727" "Kota Jayapura (Adm2)."
"2011-0209-ARG" 2011 209 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Volcano \"Puyehue\"" "Argentina" "ARG" "South America" "Americas" "San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province" "" "" "" "" "" "Yes" NA NA "" "-40.59" "-72.12" "" "" 2011 6 4 2011 6 17 NA NA 3000 NA 3000 NA NA NA NA 104000 125282 83.01267439 "1;2" "433" "4743;4756" "Chubut (Adm1). Bariloche, Lacar (Adm2)."
"2011-0209-CHL" 2011 209 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Volcano \"Puyehue\"" "Chile" "CHL" "South America" "Americas" "Futrono, Lago Ranco, Rio Bueno towns (Ranco district, Los Rios province)" "" "" "" "" "" "" NA NA "" "-40.59" "-72.12" "" "" 2011 6 4 2011 6 17 NA NA 3500 NA 3500 NA NA NA NA NA NA 83.01267439 "2" "" "149632" "Ranco (Adm2)."
"2011-0097-CHL" 2011 97 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Chile" "CHL" "South America" "Americas" "Maule province" "" "" "" "" "" "" NA 10 "Km2" "" "" "" "" 2011 2 NA 2011 2 NA NA NA 400 NA 400 NA NA NA NA NA NA 83.01267439 "1" "892" "" "Maule (Adm1)."
"2011-0030-CHN" 2011 30 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Pingyuanzhen village (Yingjiang area, Dehong Dai and Jingpo district, Yunnan Sheng province)" "" "" "" "" "" "" NA 5 "Richter" "24.693" "97.943" "15:00" "" 2011 2 1 2011 2 1 NA 1 NA 64500 64501 NA NA NA NA NA NA 83.01267439 "2" "" "13314" "Dehong Dai and Jingpo (Adm2)."
"2011-0079-CHN" 2011 79 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Pingyuanzhen village (Yingjiang area, Dehong Dai and Jingpo district, Yunnan Sheng province)" "" "" "" "" "" "" NA 6 "Richter" "24.727" "97.957" "12:58" "" 2011 3 10 2011 3 10 25 250 NA 5190 5440 NA NA NA NA 290000 349344 83.01267439 "2" "" "13314" "Dehong Dai and Jingpo (Adm2)."
"2011-0090-CHN" 2011 90 "EQ-2011-000031" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Yunnan Sheng province" "" "" "" "" "" "" NA 7 "Richter" "20.687" "99.822" "" "" 2011 3 24 2011 3 24 NA 12 9496 NA 9508 NA NA NA NA NA NA 83.01267439 "1" "929" "" "Yunnan Sheng (Adm1)."
"2011-0159-ESP" 2011 159 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Spain" "ESP" "Southern Europe" "Europe" "Lorca municipality (Murcia district, Region de Murcia)" "" "" "" "" "" "" NA 5 "Richter" "37.699" "-1.672" "18:47" "" 2011 5 11 2011 5 11 10 300 NA 15000 15300 NA NA 100000 120464 200000 240927 83.01267439 "2" "" "25822" "Murcia (Adm2)."
"2011-0130-JPN" 2011 130 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Japan" "JPN" "Eastern Asia" "Asia" "Ishinomakisi, Onagawatyoo districts (Miyagi province), Yamagata province" "" "" "" "" "" "" NA 7 "Richter" "38.276" "141.588" "23:32" "" 2011 4 7 2011 4 7 2 132 NA NA 132 NA NA NA NA NA NA 83.01267439 "1;2" "1695" "35137;35167" "Yamagata (Adm1). Isinomakisi, Onagawatyoo (Adm2)."
"2009-0420-TON" 2009 420 "TS-2009-000210" "Natural" "Geophysical" "Earthquake" "Tsunami" "" "" "Tonga" "TON" "Polynesia" "Oceania" "Niuatoputapu island (Administrative unit not available province)" "" "Tsunami/Tidal wave" "" "Yes" "" "" NA 8 "Richter" "-15.489" "-172.095" "" "" 2009 9 29 2009 9 29 9 7 500 NA 507 NA NA NA NA 9500 11999 79.17380276 "2" "" "27407" "Administrative unit not available (Adm2)."
"2009-0574-PHL" 2009 574 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Mt. Mayon" "Philippines (the)" "PHL" "South-Eastern Asia" "Asia" "Camalig, Daraga, Legaspi city, Tabaco, Malilipot, Santo Domingo, Ligao, Guinobatan areas (Albay district, Region V (Bicol region) province)" "" "Earthquake" "" "Yes" "" "" 50 NA "" "13.257" "123.685" "" "" 2009 12 14 2009 12 20 NA NA 47137 NA 47137 NA NA NA NA NA NA 79.17380276 "2" "" "24240" "Albay (Adm2)."
"2009-9661-KGZ" 2009 9661 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Kyrgyzstan" "KGZ" "Central Asia" "Asia" "Batken, Bishkek, Jalal-Abad, Naryn, Osh, Talas, Ysyk-Kol provinces" "" "Food shortage" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2009 NA NA 2009 NA NA NA NA 2000000 NA 2000000 NA NA NA NA NA NA 79.17380276 "1" "1746;1748;1749;1750;1751;1752;147293" "" "Batken, Bishkek, Jalal-Abad, Naryn, Osh, Talas, Ysyk-Kol (Adm1)."
"2009-9651-NER" 2009 9651 "OT-2010-000028" "Natural" "Climatological" "Drought" "Drought" "" "" "Niger (the)" "NER" "Western Africa" "Africa" "Agadez, Diffa, Dosso, Maradi, Tahoua, Tillaberi, Zinder, Niamey provinces" "Irregular rain" "Food shortage" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2009 9 NA 2010 3 NA NA NA 7900000 NA 7900000 NA NA NA NA NA NA 79.17380276 "1" "2202;2203;2204;2205;2206;2207;2208;2209" "" "Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
"2009-9660-NPL" 2009 9660 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Nepal" "NPL" "Southern Asia" "Asia" "Far Western, Mid Western provinces" "" "Food shortage" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2009 NA NA 2009 NA NA NA NA 303000 NA 303000 NA NA NA NA NA NA 79.17380276 "1" "2154;2155" "" "Far Western, Mid Western (Adm1)."
"2009-9654-TCD" 2009 9654 "OT-2010-000056" "Natural" "Climatological" "Drought" "Drought" "" "" "Chad" "TCD" "Middle Africa" "Africa" "Kanem, Barl El Gazal, Lac, Batha Est, Batha Ouest, Guera, Sila, Salamat, Ouaddai, Hadjer Lamis provinces" "Poor, irregular, dispersed and eraly cessation of rainfall" "Food shortage" "" "Yes" "" "" NA NA "Km2" "" "" "" "" 2009 12 NA 2010 7 NA NA NA 2400000 NA 2400000 NA NA NA NA NA NA 79.17380276 "1" "873;875;881;12904;12905;12912;12914;12915;12927;12928" "" "Barl El Gazal, Batha Est, Batha Ouest, Guera, Hadjer Lamis, Kanem, Lac, Ouaddai, Salamat, Sila (Adm1)."
"2009-0547-MWI" 2009 547 "EQ-2009-000257" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Malawi" "MWI" "Eastern Africa" "Africa" "Karonga district (Northern Region province)" "" "" "" "Yes" "" "" NA 6 "Richter" "-9.948" "33.878" "" "" 2009 12 8 2009 12 8 1 15 NA 15000 15015 NA NA NA NA NA NA 79.17380276 "2" "" "19317" "Karonga (Adm2)."
"2009-0573-MWI" 2009 573 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Malawi" "MWI" "Eastern Africa" "Africa" "Karonga district (Northern Region province)" "" "" "" "Yes" "" "Yes" 551 6 "Richter" "-10.108" "33.818" "01:20" "" 2009 12 20 2009 12 20 3 171 NA 5550 5721 NA NA NA NA NA NA 79.17380276 "2" "" "19317" "Karonga (Adm2)."
